URL,Paragraph,Dominant_Topic
https://interaksyon.philstar.com/trends-spotlights/2023/07/29/256638/baguio-smart-city-command-center/,"In partnership with Cisco, a digital solutions company, the province built its Smart City Command Center to centralize and digitalize its operations for better governance.","city, baguio, smart, citizen, center, digital, government, command, year, technology"
https://interaksyon.philstar.com/trends-spotlights/2023/07/29/256638/baguio-smart-city-command-center/,"In a statement, Baguio City Mayor Benjamin Magalong emphasized the need for careful planning and a strong partnership foundation to create a “smart city.”","baguio, city, land, need, stress, resource, project, philippines, issue, tourist"
https://interaksyon.philstar.com/trends-spotlights/2023/07/29/256638/baguio-smart-city-command-center/,"“To become a smart city, having a well-defined plan is crucial. Recognizing this, we in the city government-initiated discussions with Cisco regarding a potential partnership,” said Magalong.","city, government, smart, service, solution, magalong, partnership, time, strategic, plan"
https://interaksyon.philstar.com/trends-spotlights/2023/07/29/256638/baguio-smart-city-command-center/,"“The response from Cisco was exceedingly impressive as they promptly organized themselves and provided a comprehensive response. Their willingness to collaborate positions us closer to our goal of transforming into a smart city,” he added.","city, baguio, smart, center, command, say, project, quality, public, government"
https://interaksyon.philstar.com/trends-spotlights/2023/07/29/256638/baguio-smart-city-command-center/,"The Baguio Smart City Command Center was developed as part of Cisco’s Country Digital Acceleration (CDA) program in the Philippines, UGNAYAN 2030.","city, baguio, smart, urban, technology, project, traffic, development, management, magalong"
https://interaksyon.philstar.com/trends-spotlights/2023/07/29/256638/baguio-smart-city-command-center/,National Geographic defines a smart city as a metropolitan area wherein “in which a suite of sensors (typically hundreds or thousands) is deployed to collect electronic data from and about people and infrastructure so as to improve efficiency and quality of life.”,"city, baguio, magalong, mayor, benjamin, project, fund, smart, implementation, government"
https://interaksyon.philstar.com/trends-spotlights/2023/07/29/256638/baguio-smart-city-command-center/,"In line with this, Baguio City’s “smart” command center is also equipped with Cisco technologies.","city, baguio, smart, center, command, say, project, quality, public, government"
https://interaksyon.philstar.com/trends-spotlights/2023/07/29/256638/baguio-smart-city-command-center/,"According to a press release about this facility, it was stated that the technologies Cisco provided and installed include “industrial and network switches, data center architecture, as well as firewalls, and advanced threat detection response tools, ensuring that the command center is secure from end to end at all times.”","security, end, center, cisco, license, ensure, technology, baguio, command, hotel"
https://interaksyon.philstar.com/trends-spotlights/2023/07/29/256638/baguio-smart-city-command-center/,"To ensure data security, it was also stated that the command center contains “Cisco’s networking, security, and collaboration technologies power the underlying infrastructure of the platform.”","security, end, center, cisco, license, ensure, technology, baguio, command, hotel"
https://interaksyon.philstar.com/trends-spotlights/2023/07/29/256638/baguio-smart-city-command-center/,The overall Smart City Command Center serves as “the core” of Baguio City’s regular operations and functions.,"city, baguio, smart, center, command, say, project, quality, public, government"
https://interaksyon.philstar.com/trends-spotlights/2023/07/29/256638/baguio-smart-city-command-center/,"“These solutions enable the Smart City Command Center to aggregate and analyze data from city infrastructure sensors and other data sources seamlessly and securely,” the press release said.","city, baguio, waste, government, energy, development, say, |, project, herald"
https://interaksyon.philstar.com/trends-spotlights/2023/07/29/256638/baguio-smart-city-command-center/,"“It equips city planners and officials with a holistic view of the entire smart city ecosystem, from traffic patterns and available parking lots to environmental conditions and public safety measures, optimizing the speed and scale of digital services for citizens of Baguio,” it added.","city, baguio, smart, center, command, say, project, quality, public, government"
https://interaksyon.philstar.com/trends-spotlights/2023/07/29/256638/baguio-smart-city-command-center/,"Moreover, Cisco also trained personnel on how to properly use the command center’s system and infrastructure.","system, government, datum, say, baguio, city, cybersecurity, sophisticated, camarao, command"
https://interaksyon.philstar.com/trends-spotlights/2023/07/29/256638/baguio-smart-city-command-center/,This innovation was launched in response to a study commissioned by the National Economic Development Authority (NEDA) that stated Baguio faces “urban decay” in the next 25 years.,"freedom, project, press, government, baguio, city, response, official, technology, unit"
https://interaksyon.philstar.com/trends-spotlights/2023/07/29/256638/baguio-smart-city-command-center/,This might happen if concerns surrounding the tourist spot such as overcrowding and waste management were not resolved.,"management, tourist, traffic, waste, boracay, close, technology, business, baguio, ai"
https://interaksyon.philstar.com/trends-spotlights/2023/07/29/256638/baguio-smart-city-command-center/,Here is a list of what the Smart City Command Center has achieved for Baguio City so far:,"city, baguio, smart, center, command, say, project, quality, public, government"
https://www.bworldonline.com/property/2024/04/30/591647/baguio-turns-to-data-science-ai-to-support-smart-city-objectives/,THE CITY GOVERNMENT of Baguio said it is implementing Project MINERVA (Monitoring of Indicators for Efficient Redevelopment and Value Assessment) to address urban decay and promote smart city development.,"city, baguio, smart, center, command, say, project, quality, public, government"
https://www.bworldonline.com/property/2024/04/30/591647/baguio-turns-to-data-science-ai-to-support-smart-city-objectives/,"“With the project’s ultimate goal of driving predictions and monitoring models for air quality, water quality, urban mobility, and tourism management, we’re able to use technology to advance our goal of becoming a truly smart city by 2027,” Baguio City Mayor Benjamin B. Magalong said during a turnover ceremony on April 15.","city, baguio, smart, center, command, say, project, quality, public, government"
https://www.bworldonline.com/property/2024/04/30/591647/baguio-turns-to-data-science-ai-to-support-smart-city-objectives/,"Mr. Magalong referenced a 2019 National Economic and Development Authority (NEDA) commissioned study on urban carrying capacity, which identified urban decay in the city.","city, baguio, smart, urban, technology, project, traffic, development, management, magalong"
https://www.bworldonline.com/property/2024/04/30/591647/baguio-turns-to-data-science-ai-to-support-smart-city-objectives/,"In 2014, the World Health Organization rated Baguio’s air, which had 49 micrograms of particulate matter (PM) per cubic meter, as the most polluted air in the Philippines.","city, baguio, smart, citizen, center, digital, government, command, year, technology"
https://www.bworldonline.com/property/2024/04/30/591647/baguio-turns-to-data-science-ai-to-support-smart-city-objectives/,"Mr. Magalong said Baguio was the first city in the country to commit to reducing its carbon, greenhouse, and gas emissions by as much as 50% by 2050.","city, baguio, smart, urban, technology, project, traffic, development, management, magalong"
https://www.bworldonline.com/property/2024/04/30/591647/baguio-turns-to-data-science-ai-to-support-smart-city-objectives/,"“With all these systems, we were able to significantly improve our air quality. Minerva gave us the confidence to continue the pedestrianization program of Session Road,” Mr. Magalong said regarding the criticized closure of a portion of Session Road during Sundays to ease pollution.","city, baguio, smart, center, command, say, project, quality, public, government"
https://www.bworldonline.com/property/2024/04/30/591647/baguio-turns-to-data-science-ai-to-support-smart-city-objectives/,"In a presentation by Project MINERVA Senior Data Scientist and Chief Data Specialist Christopher P. Monterola, he said almost all of Baguio’s barangays had safe levels of PM 2.5 in 2023.","city, baguio, file, project, say, chief, data, implement, 2023, charge"
https://www.bworldonline.com/property/2024/04/30/591647/baguio-turns-to-data-science-ai-to-support-smart-city-objectives/,"Mr. Monterola noted that the tourism index score of Baguio, the summer capital of the country, is 4.0, higher than the score of the Philippines, which is 3.7.","city, baguio, magalong, mayor, benjamin, project, fund, smart, implementation, government"
https://www.bworldonline.com/property/2024/04/30/591647/baguio-turns-to-data-science-ai-to-support-smart-city-objectives/,"Baguio has a daytime population of 380,000, with 600,000 tourists and workers, totaling up to 1.2 million, he said.","city, baguio, smart, citizen, center, digital, government, command, year, technology"
https://www.bworldonline.com/property/2024/04/30/591647/baguio-turns-to-data-science-ai-to-support-smart-city-objectives/,"Mr. Monterola also said that air quality is compromised every time there is a spike in events and holidays but does not affect traffic, according to the nighttime imagery from the satellite used in the daily resolution of the project’s urban carrying capacity in 2023.","city, baguio, smart, urban, technology, project, traffic, development, management, magalong"
https://www.bworldonline.com/property/2024/04/30/591647/baguio-turns-to-data-science-ai-to-support-smart-city-objectives/,"Meanwhile, Mr. Magalong acknowledged the system’s failure to detect the January diarrhea outbreak, attributing it to incorrectly installed sensors.","city, baguio, smart, urban, technology, project, traffic, development, management, magalong"
https://www.bworldonline.com/property/2024/04/30/591647/baguio-turns-to-data-science-ai-to-support-smart-city-objectives/,"“The inclusion of six local government units from the Cordillera Administrative Region, Lagayan in Abra, Santa Marcela in Apayao, Atok in Benguet, Tabuk in Calinca, Alfonso Lista in Ifugao, and Bapu in Mountain Province underscores our commitment of developing at least one pilot smart and sustainable community per province,” Department of Science and Technology (DoST) Secretary Renato U. Solidum, Jr. said.","community, province, cisco, partnership, sustainable, local, government, smart, science, commitment"
https://www.bworldonline.com/property/2024/04/30/591647/baguio-turns-to-data-science-ai-to-support-smart-city-objectives/,"Mr. Solidum said the biometric-secured command center will be monitored and operated by city administrators and data scientists, focusing on various aspects of the city such as traffic patterns, mobility, environmental data, emergency response, and rescue efforts.","news, publication, word, online, city, action, trigger, security, datum, command"
https://opengovasia.com/2020/11/02/baguio-aiming-to-be-the-first-smart-city-in-the-philippines/,"The ongoing pandemic has been a catalyst and accelerator of innovation, especially of the digital type. In the Philippines, this is epitomised by Baguio City as it pushes forward with its goal of building the first Smart City in the country.","city, baguio, smart, center, command, say, project, quality, public, government"
https://opengovasia.com/2020/11/02/baguio-aiming-to-be-the-first-smart-city-in-the-philippines/,"Baguio, on the Philippines’ Luzon island, is a mountain town of universities and resorts often referred to as the “City of Pines”. It’s mission: to create a sustainable and enabling environment that will promote economic stability and ensure the general well-being of our citizenry.","baguio, city, land, need, stress, resource, project, philippines, issue, tourist"
https://opengovasia.com/2020/11/02/baguio-aiming-to-be-the-first-smart-city-in-the-philippines/,"“I envision Baguio as a SMART City where various types of electronic methods are used to manage the Summer Capital’s assets, resources and to provide even more efficient and effective services to the public,” said Mayor Magalong.","city, baguio, magalong, mayor, benjamin, project, fund, smart, implementation, government"
https://opengovasia.com/2020/11/02/baguio-aiming-to-be-the-first-smart-city-in-the-philippines/,"After several investments in technology for digital governance, crowd density monitoring, and real-time weather prediction, the city has engaged the services of a digital multinational to create its Integrated Command and Control Center. The mayor said he was confident that the international organisation’s participation would help the city realise its goal of digital governance where residents can engage in “contactless” transactions with the government and much more.","city, baguio, smart, citizen, center, digital, government, command, year, technology"
https://opengovasia.com/2020/11/02/baguio-aiming-to-be-the-first-smart-city-in-the-philippines/,"Smart Cities are not a vision of the future – they are here and now, and Baguio City is leading this initiative in the Philippines, agreed the Managing Director of the partner organisation, who is excited to help Mayor Magalong and his team realise this vision for not just a smart but a safe and thriving city.","city, baguio, smart, citizen, center, digital, government, command, year, technology"
https://opengovasia.com/2020/11/02/baguio-aiming-to-be-the-first-smart-city-in-the-philippines/,"While investments in technology can enhance public services and governance, a true Smart City must have the capability to gather data and use insights to manage assets, resources and services efficiently. The planned Integrated Command and Control Center will serve as Baguio City’s monitoring centre and coordination office all-in-one. It will be operated by a combined force from the CDRRMO, Police, Fire Services, Health and EMS Departments.","city, baguio, smart, citizen, center, digital, government, command, year, technology"
https://opengovasia.com/2020/11/02/baguio-aiming-to-be-the-first-smart-city-in-the-philippines/,"Baguio will be installing a holistic and integrated Smart City platform which includes the Command and Control Centre, an Integrated Communication Platform (ICP), a Video Management System (VMS) with Video Analytics, Computer-Aided Dispatch (CAD) and Geographical Information System (GIS) and big data analytics for the city of Baguio.","city, baguio, smart, urban, technology, project, traffic, development, management, magalong"
https://opengovasia.com/2020/11/02/baguio-aiming-to-be-the-first-smart-city-in-the-philippines/,"Ultimately, Baguio City will be able to closely monitor and respond to incidents in the community, improving peace, order and safety for its citizens. Baguio City will also be able to better manage and respond to citizen complaints and feedback with the integration of its Smart City app launched earlier this year.","city, baguio, smart, citizen, center, digital, government, command, year, technology"
https://opengovasia.com/2020/11/02/baguio-aiming-to-be-the-first-smart-city-in-the-philippines/,"“The shift to being a Smart City is not easy and there are many challenges that we need to overcome, but for country leaders who are determined to enact a vision, this innovation is well within reach,” said Ilagan. “We are excited about the work we are doing with Baguio City and we hope that more cities will take that bold step towards building an inclusive future for the Filipino.”","city, baguio, smart, center, command, say, project, quality, public, government"
https://opengovasia.com/2020/11/02/baguio-aiming-to-be-the-first-smart-city-in-the-philippines/,"Baguio’s goals are in line with the country’s digital ambitions. OpenGov Asia reported on the launch of the Philippines Digital Cities 2025 initiative in mid-2020. Under the initiative, 25 digital cities in the were named as the centres of focus for new economic development in the next three years.","city, baguio, smart, citizen, center, digital, government, command, year, technology"
https://baguioheraldexpressonline.com/baguio-city-aims-to-transform-to-a-smart-city-by-2027/,"BAGUIO CITY – The local government declared the City’s ambition to achieve smart city status by 2027 at the Luzon ICT Champions Conference 2024, highlighting a strategic commitment to a smart, green, and sustainable quality of life.","city, baguio, smart, urban, technology, project, traffic, development, management, magalong"
https://baguioheraldexpressonline.com/baguio-city-aims-to-transform-to-a-smart-city-by-2027/,"“Our decision to transform the city of  Baguio into a smart city is aligned with our strategic direction of becoming a smart, green, and sustainable city with the ultimate goal of improving the urban quality of life of our residents,” city officials said.","city, baguio, smart, center, command, say, project, quality, public, government"
https://baguioheraldexpressonline.com/baguio-city-aims-to-transform-to-a-smart-city-by-2027/,"Moreover, city officials clarified that despite recent advancements, the city is not yet officially considered a “smart city.” However, the city has made significant progress by establishing a command or smart command platform. It was revealed that the city is utilizing Cisco Technology, a single technology solution that is being projected to be one of the best globally.","city, baguio, smart, urban, technology, project, traffic, development, management, magalong"
https://baguioheraldexpressonline.com/baguio-city-aims-to-transform-to-a-smart-city-by-2027/," Baguio City is grappling with a host of development challenges and significant urban issues that require urgent attention and resolution. City officials highlighted the city’s struggles with overpopulation overload, misaligned land use plans, inadequate waste management, traffic congestion, and air pollution, as well as climate-related hazards like landslides and flooding. Notably, urban decay is already taking hold within the city. ","city, baguio, smart, urban, technology, project, traffic, development, management, magalong"
https://baguioheraldexpressonline.com/baguio-city-aims-to-transform-to-a-smart-city-by-2027/,"It was stressed that today’s focus revolves around tackling these pressing issues head-on. All 53 strategic, analytic, and catalytical projects have been specifically designed to combat urban decay in Baguio. Given the city’s limited land availability, prudent management of its land resources is vital to strike a harmonious balance between development, conservation of green spaces, and addressing the varied needs of different sectors within the community.","baguio, city, land, need, stress, resource, project, philippines, issue, tourist"
https://baguioheraldexpressonline.com/baguio-city-aims-to-transform-to-a-smart-city-by-2027/,"It was articulated the rationale behind the development of a net zero roadmap, outlining a progressive vision for the city’s future. By harnessing artificial intelligence, information, and technology, the city aims to address existing challenges, enhance operational efficiency, and effectively manage resources. This strategic approach emphasizes the evolution of solutions over time to elevate the quality of government services, improve citizen welfare, and offer enhanced lifestyles through innovative smart services.","city, government, smart, service, solution, magalong, partnership, time, strategic, plan"
https://baguioheraldexpressonline.com/baguio-city-aims-to-transform-to-a-smart-city-by-2027/,"Despite facing obstacles exacerbated by the pandemic, Baguio City is steadfast in its ambition to transition into a smart city by 2027. Working actively with stakeholders and technology partners, the city is dedicated to materializing its ambitious digital platform. The implementation of the smart city system revolves around the thoughtful integration of various building blocks in a synchronized and cohesive manner.","city, baguio, smart, center, command, say, project, quality, public, government"
https://baguioheraldexpressonline.com/baguio-city-aims-to-transform-to-a-smart-city-by-2027/,"A pivotal milestone in this journey was the successful procurement of a groundbreaking Smart City Command Center valued at 200 million pesos with the support of former President Rodrigo Duterte. This state-of-the-art facility, inaugurated in September 2021, stands as a pioneering achievement as the first of its kind in the entire country, he added.","city, baguio, smart, center, command, say, project, quality, public, government"
https://baguioheraldexpressonline.com/baguio-city-aims-to-transform-to-a-smart-city-by-2027/,"Baguio City is on a transformative path to becoming a smart city by 2027, guided by five key pillars: Security, Sustainability, Efficiency, Community-oriented, and Lifestyle. It was articulated that this ambitious vision rests upon a solid foundation of good governance. Stressing the importance of prudence, fairness, and responsibility, It was emphasized the imperative for city leaders to uphold rigorous ethical standards and integrity, while ensuring transparency and accountability to cultivate public trust in government. ","city, baguio, smart, center, command, say, project, quality, public, government"
https://baguioheraldexpressonline.com/baguio-city-aims-to-transform-to-a-smart-city-by-2027/,"“Smarter is a more responsive and livable city, we don’t want just to be a smart city. We want to be a connected city. A truly connected city in which every citizen is connected, and every citizen is able to benefit from this vision,” city officials conclude. Trust was emphasized as the bedrock of  Baguio City, serving as a linchpin for fostering community support for city initiatives. By Joy Anne M. Palaoag","city, baguio, smart, citizen, center, digital, government, command, year, technology"
https://baguioheraldexpressonline.com/baguio-city-aims-to-transform-to-a-smart-city-by-2027/,Herald Express is a news organization based in Baguio City that has a weekly publication and an online news portal. The newspaper is circulated in the different provinces of Northern Luzon. The name of the fastest-growing publication in town is coined from the word ‘quick messenger’ which is self-explanatory.,"news, publication, word, online, city, action, trigger, security, datum, command"
https://baguioheraldexpressonline.com/baguio-city-aims-to-transform-to-a-smart-city-by-2027/,© 2024  Baguio Herald Express | Website Design and Development by Neitiviti Studios,"city, baguio, waste, government, energy, development, say, |, project, herald"
https://malaya.com.ph/news_special_feature/baguio-city-cisco-collaborate-for-smart-city-command-center/,BAGUIO City and Cisco partner to transform the city with the Smart City Command Center. This collaboration has enabled city planners to streamline management decisions and enhance public services for citizens.,"city, baguio, smart, center, command, say, project, quality, public, government"
https://malaya.com.ph/news_special_feature/baguio-city-cisco-collaborate-for-smart-city-command-center/,"As part of its Country Digital Acceleration (CDA) program, UGNAYAN 2030, Cisco has provided the digital infrastructure and necessary skills training to operate the platform.","system, government, datum, say, baguio, city, cybersecurity, sophisticated, camarao, command"
https://malaya.com.ph/news_special_feature/baguio-city-cisco-collaborate-for-smart-city-command-center/,"To address concerns of urban decay in the next 25 years, Cisco collaborated with Quantela to create a Command Center that centralizes Baguio’s digital operations. The center allows city planners to manage processes across departments and agencies.","city, baguio, smart, center, command, say, project, quality, public, government"
https://malaya.com.ph/news_special_feature/baguio-city-cisco-collaborate-for-smart-city-command-center/,"The Smart City Command Center serves as the core of the city’s operations, enabling real-time monitoring, analysis, and rapid response to emergencies. Cisco’s networking, security, and collaboration technologies power the infrastructure, ensuring end-to-end security.","city, baguio, smart, center, command, say, project, quality, public, government"
https://malaya.com.ph/news_special_feature/baguio-city-cisco-collaborate-for-smart-city-command-center/,"The platform aggregates and analyzes data from city infrastructure sensors, providing city planners with a holistic view of the smart city ecosystem. This optimizes digital services in areas like traffic patterns, parking availability, environmental conditions, and public safety measures for Baguio’s citizens.","city, baguio, smart, center, command, say, project, quality, public, government"
https://malaya.com.ph/news_special_feature/baguio-city-cisco-collaborate-for-smart-city-command-center/,"Notable applications of the platform include integrating geographic information on fault lines and sinkholes, a smart emergency response platform for citizens, intelligent traffic management, and environmental management solutions.","city, baguio, smart, citizen, center, digital, government, command, year, technology"
https://malaya.com.ph/news_special_feature/baguio-city-cisco-collaborate-for-smart-city-command-center/,"Baguio City Mayor Benjamin Magalong emphasized the importance of public-private partnerships in building smart cities, expressing gratitude to Cisco for their collaboration.","city, baguio, magalong, mayor, benjamin, project, fund, smart, implementation, government"
https://malaya.com.ph/news_special_feature/baguio-city-cisco-collaborate-for-smart-city-command-center/,"Zaza Soriano-Nicart, Cisco Philippines’ Managing Director, highlighted Cisco’s commitment to leveraging public-private partnerships and thanked Mayor Magalong for the trust and partnership.","community, province, cisco, partnership, sustainable, local, government, smart, science, commitment"
https://malaya.com.ph/news_special_feature/baguio-city-cisco-collaborate-for-smart-city-command-center/,"The Baguio Smart City Command Center is part of Cisco’s CDA program, UGNAYAN 2030, which aims to accelerate national digitalization agendas and create value for countries, , businesses, and citizens.","city, baguio, smart, citizen, center, digital, government, command, year, technology"
https://www.pna.gov.ph/articles/1153128,"This website is using a security service to protect itself from online attacks. The action you just performed triggered the security solution. There are several actions that could trigger this block including submitting a certain word or phrase, a SQL command or malformed data.","news, publication, word, online, city, action, trigger, security, datum, command"
"https://baguioheraldexpressonline.com/baguio-city-aims-to-transform-to-a-smart-city-by-2027/#:~:text=Baguio%20City%20is%20on%20a,solid%20foundation%20of%20good%20governance."," BAGUIO CITY – The local government declared the City’s ambition to achieve smart city status by 2027 at the Luzon ICT Champions Conference 2024, highlighting a strategic commitment to a smart, green, and sustainable quality of life.","city, baguio, smart, urban, technology, project, traffic, development, management, magalong"
"https://baguioheraldexpressonline.com/baguio-city-aims-to-transform-to-a-smart-city-by-2027/#:~:text=Baguio%20City%20is%20on%20a,solid%20foundation%20of%20good%20governance.","“Our decision to transform the  city of Baguio into a smart city is aligned with our strategic direction of becoming a smart, green, and sustainable city with the ultimate goal of improving the urban quality of life of our residents,” city officials said.","city, baguio, smart, center, command, say, project, quality, public, government"
"https://baguioheraldexpressonline.com/baguio-city-aims-to-transform-to-a-smart-city-by-2027/#:~:text=Baguio%20City%20is%20on%20a,solid%20foundation%20of%20good%20governance.","Moreover, city officials clarified that despite recent advancements, the city is not yet officially considered a “smart city.” However, the city has made significant progress by establishing a command or smart command platform. It was revealed that the city is utilizing Cisco Technology, a single technology solution that is being projected to be one of the best globally.","city, baguio, smart, urban, technology, project, traffic, development, management, magalong"
"https://baguioheraldexpressonline.com/baguio-city-aims-to-transform-to-a-smart-city-by-2027/#:~:text=Baguio%20City%20is%20on%20a,solid%20foundation%20of%20good%20governance.","Baguio City is grappling with a host of development challenges and significant urban issues that require urgent attention and resolution. City officials highlighted the city’s struggles with overpopulation overload, misaligned land use plans, inadequate waste management, traffic congestion, and air pollution, as well as climate-related hazards like landslides and flooding. Notably, urban decay is already taking hold within the city. ","city, baguio, smart, urban, technology, project, traffic, development, management, magalong"
"https://baguioheraldexpressonline.com/baguio-city-aims-to-transform-to-a-smart-city-by-2027/#:~:text=Baguio%20City%20is%20on%20a,solid%20foundation%20of%20good%20governance.","It was stressed that today’s focus revolves around tackling these pressing issues head-on. All 53 strategic, analytic, and catalytical projects have been specifically designed to combat urban decay in Baguio. Given the city’s limited land availability, prudent management of its land resources is vital to strike a harmonious balance between development, conservation of green spaces, and addressing the varied needs of different sectors within the community.","baguio, city, land, need, stress, resource, project, philippines, issue, tourist"
"https://baguioheraldexpressonline.com/baguio-city-aims-to-transform-to-a-smart-city-by-2027/#:~:text=Baguio%20City%20is%20on%20a,solid%20foundation%20of%20good%20governance.","It was articulated the rationale behind the development of a net zero roadmap, outlining a progressive vision for the city’s future. By harnessing artificial intelligence, information, and technology, the city aims to address existing challenges, enhance operational efficiency, and effectively manage resources. This strategic approach emphasizes the evolution of solutions over time to elevate the quality of government services, improve citizen welfare, and offer enhanced lifestyles through innovative smart services.","city, government, smart, service, solution, magalong, partnership, time, strategic, plan"
"https://baguioheraldexpressonline.com/baguio-city-aims-to-transform-to-a-smart-city-by-2027/#:~:text=Baguio%20City%20is%20on%20a,solid%20foundation%20of%20good%20governance.","Despite facing obstacles exacerbated by the pandemic, Baguio City is steadfast in its ambition to transition into a smart city by 2027. Working actively with stakeholders and technology partners, the city is dedicated to materializing its ambitious digital platform. The implementation of the smart city system revolves around the thoughtful integration of various building blocks in a synchronized and cohesive manner.","city, baguio, smart, center, command, say, project, quality, public, government"
"https://baguioheraldexpressonline.com/baguio-city-aims-to-transform-to-a-smart-city-by-2027/#:~:text=Baguio%20City%20is%20on%20a,solid%20foundation%20of%20good%20governance.","A pivotal milestone in this journey was the successful procurement of a groundbreaking Smart City Command Center valued at 200 million pesos with the support of former President Rodrigo Duterte. This state-of-the-art facility, inaugurated in September 2021, stands as a pioneering achievement as the first of its kind in the entire country, he added.","city, baguio, smart, center, command, say, project, quality, public, government"
"https://baguioheraldexpressonline.com/baguio-city-aims-to-transform-to-a-smart-city-by-2027/#:~:text=Baguio%20City%20is%20on%20a,solid%20foundation%20of%20good%20governance."," Baguio City is on a transformative path to becoming a smart city by 2027, guided by five key pillars: Security, Sustainability, Efficiency, Community-oriented, and Lifestyle. It was articulated that this ambitious vision rests upon a solid foundation of good governance. Stressing the importance of prudence, fairness, and responsibility, It was emphasized the imperative for city leaders to uphold rigorous ethical standards and integrity, while ensuring transparency and accountability to cultivate public trust in government. ","city, baguio, smart, center, command, say, project, quality, public, government"
